symbol,month,formation_day,entry_day,expiration,strike,spot_formation,moneyness,hv,return_1m,call_iv_formation,put_iv_formation,call_mid_formation,put_mid_formation,spot_entry,spot_at_expiry,call_bid,call_ask,call_volume,call_delta,put_bid,put_ask,put_volume,put_delta,iv,call_mid,put_mid,call_payoff,put_payoff,signal,year,earnings_in_hold,decile,straddle,call_hedged,put_hedged,call_naked,put_naked,stock
A,2017-10-01,2017-10-23,2017-10-24,2017-11-17,67.5,67.02000000000001,1.0071620411817366,0.1650663185123261,0.018675241548253108,0.1706,0.17700000000000002,1.01,1.45,67.32000000000001,68.79,1.1300000000000001,1.19,159,0.4958,1.24,1.32,309,-0.5038,0.1738,1.1600000000000001,1.28,1.2900000000000063,0.0,-0.05155788930535432,2017,false,8,-0.47131147540983354,-0.01858711989624421,-0.015326083077602193,0.11206896551724665,-1.0,0.02183600713012468
AAL,2017-10-01,2017-10-23,2017-10-24,2017-11-17,51.0,50.980000000000004,1.0003923107100823,0.2970459056949069,0.08001001564875287,0.3305,0.3461,1.78,1.8250000000000002,51.95,47.39,2.22,2.39,123,0.6075,1.32,1.43,149,-0.3956,0.33830000000000005,2.305,1.375,0.0,3.6099999999999994,-0.13004638429852888,2017,false,7,-0.019021739130435034,0.01590175912355744,0.019659570509002317,-1.0,1.625454545454545,-0.08777670837343599
AAP,2017-10-01,2017-10-23,2017-10-24,2017-11-17,85.0,85.91000000000001,0.989407519497148,0.3776196218622621,-0.10676797542570612,0.44,0.46430000000000005,4.45,3.65,84.25,89.27000000000001,2.6,4.4,37,0.4955,3.4,4.7,131,-0.5058,0.45215000000000005,3.5,4.05,4.27000000000001,0.0,-0.18012658558765982,2017,false,5,-0.4344370860927138,-0.04490445047995359,-0.032378178732267934,0.22000000000000286,-1.0,0.0595845697329378
AAPL,2017-10-01,2017-10-23,2017-10-24,2017-11-17,155.0,156.17000000000002,0.99250816418006,0.1740271291320559,0.02778858284982685,0.2546,0.2833,4.85,3.95,157.1,170.15,5.1000000000000005,5.2,703,0.6044,3.35,3.45,909,-0.40490000000000004,0.26895,5.15,3.4000000000000004,15.150000000000006,0.0,-0.43531428710608777,2017,true,2,0.7719298245614041,0.02352506491001681,0.02811447401939336,1.941747572815535,-1.0,0.08306810948440502
ABBV,2017-10-01,2017-10-23,2017-10-24,2017-11-17,94.5,94.51,0.9998941910908898,0.17743842972810236,0.07729545319839742,0.23800000000000002,0.24070000000000003,2.415,2.315,91.69,93.61,1.21,1.3900000000000001,3,0.3396,3.95,4.2,13,-0.6547000000000001,0.23935,1.3,4.075,0.0,0.8900000000000006,-0.29930324186927115,2017,true,4,-0.8344186046511627,-0.06542117340335074,-0.03007554406174309,-1.0,-0.7815950920245398,0.02094012433198822
ABT,2017-10-01,2017-10-23,2017-10-24,2017-11-17,56.0,56.080000000000005,0.9985734664764621,0.13762273723145557,0.06577561507656678,0.1511,0.16110000000000002,0.96,0.875,55.38,55.56,0.62,0.65,185,0.4083,1.18,1.23,28,-0.5896,0.15610000000000002,0.635,1.205,0.0,0.4399999999999977,-0.12598067416534597,2017,false,7,-0.7608695652173926,-0.03223848361993595,-0.019460408952369463,-1.0,-0.6348547717842343,0.003250270855904569
ADBE,2017-10-01,2017-10-23,2017-10-24,2017-11-17,172.5,172.16,1.0019749070631971,0.20451089360910354,0.14783931873066503,0.2093,0.2061,3.7,3.775,171.58,182.24,3.0,3.2,1200,0.47690000000000005,3.75,3.95,1001,-0.5226000000000001,0.2077,3.1,3.85,9.740000000000009,0.0,-0.015473487335809777,2017,false,8,0.4014388489208647,0.01976775241455552,0.0184020335485553,2.1419354838709705,-1.0,0.06212845319967353
ADI,2017-10-01,2017-10-23,2017-10-24,2017-11-17,90.0,88.77000000000001,1.013856032443393,0.2093374793613871,0.04433911824517277,0.2011,0.2023,1.375,2.5,90.29,90.42,1.95,2.2,2129,0.544,1.55,1.9000000000000001,157,-0.45640000000000003,0.2017,2.075,1.725,0.4200000000000017,0.0,0.03716623851028822,2017,false,9,-0.8894736842105259,-0.036684072108013985,-0.03879659442415827,-0.7975903614457823,-1.0,0.0014398050725439315
ADSK,2017-10-01,2017-10-23,2017-10-24,2017-11-17,120.0,118.99000000000001,1.0084881082443902,0.2654350443577385,0.06250680212550991,0.2424,0.2446,2.6100000000000003,3.5,119.29,127.49000000000001,2.65,2.86,46,0.4827,3.0500000000000003,3.45,82,-0.5181,0.2435,2.755,3.25,7.490000000000009,0.0,0.08625321420685483,2017,false,9,0.24729392173189169,0.01416948145107717,0.015347522261800724,1.7186932849364824,-1.0,0.06874004526783462
AEP,2017-10-01,2017-10-23,2017-10-24,2017-11-17,72.5,73.92,0.9807900432900433,0.10716541861192595,0.04637830232068993,0.11810000000000001,0.16840000000000002,1.85,0.675,73.97,76.38000000000001,1.8,1.95,27,0.7636000000000001,0.6,0.7000000000000001,35,-0.306,0.14325000000000002,1.875,0.65,3.8800000000000097,0.0,-0.2902177465760294,2017,true,4,0.5366336633663404,0.0030164539244189564,0.0037560951727349974,1.0693333333333386,-1.0,0.03258077599026654
AET,2017-10-01,2017-10-23,2017-10-24,2017-11-17,160.0,161.47,0.9908961416981483,0.15524998759045097,0.050162877755928134,0.22410000000000002,0.22080000000000002,4.65,2.93,160.08,173.20000000000002,3.75,4.05,37,0.5231,3.45,3.75,47,-0.4768,0.22245000000000004,3.9,3.6,13.200000000000017,0.0,-0.35966571637114897,2017,false,3,0.7600000000000022,0.03052346801732449,0.03322587412699407,2.384615384615389,-1.0,0.08195902048975512
AFL,2017-10-01,2017-10-23,2017-10-24,2017-11-17,85.0,84.32000000000001,1.0080645161290323,0.1180261357732482,0.004516826887607081,0.156,0.1898,1.115,1.98,84.56,83.85000000000001,1.1,1.26,11,0.4677,1.82,2.0100000000000002,325,-0.5208,0.1729,1.1800000000000002,1.915,0.0,1.1499999999999915,-0.3818073031449827,2017,true,2,-0.628432956381263,-0.022099595107597125,-0.024693644806415456,-1.0,-0.3994778067885162,-0.0083964049195836
AIG,2017-10-01,2017-10-23,2017-10-24,2017-11-17,65.0,64.96000000000001,1.0006157635467978,0.16862878414939506,0.06766326671108004,0.19010000000000002,0.1962,1.31,1.315,65.13000000000001,60.06,1.37,1.45,82,0.5352,1.22,1.3,15,-0.46530000000000005,0.19315000000000002,1.4100000000000001,1.26,0.0,4.939999999999998,-0.1357673336240428,2017,true,6,0.8501872659176022,0.038970357672556105,0.04184791573980887,-1.0,2.9206349206349187,-0.07784431137724557
AKAM,2017-10-01,2017-10-23,2017-10-24,2017-11-17,51.5,51.46,1.0007773027594247,0.34500321620073143,0.06275232099660488,0.4616,0.46240000000000003,2.49,2.475,51.910000000000004,55.440000000000005,3.0,3.3000000000000003,187,0.5537000000000001,2.32,2.84,360,-0.44630000000000003,0.462,3.1500000000000004,2.58,3.940000000000005,0.0,-0.29201115177287096,2017,true,4,-0.3123909249563692,-0.0455038761840497,-0.03901596714515188,0.2507936507936521,-1.0,0.06800231169331528
ALB,2017-10-01,2017-10-23,2017-10-24,2017-11-17,140.0,138.53,1.010611419909045,0.2404167936564076,0.03108526807670374,0.3422,0.34590000000000004,4.35,5.7,138.72,136.21,4.3,4.5,56,0.4818,5.4,5.8,190,-0.5172,0.34405,4.4,5.6,0.0,3.789999999999992,-0.35841293828753407,2017,true,3,-0.6210000000000008,-0.051103817942978996,-0.04018530554863719,-1.0,-0.3232142857142871,-0.018094002306805024
ALK,2017-10-01,2017-10-23,2017-10-24,2017-11-17,80.0,78.74000000000001,1.016002032004064,0.23516848487615,0.05200207324479614,0.2697,0.2954,1.7000000000000002,3.075,79.39,66.4,1.55,2.3000000000000003,719,0.4757,2.0,3.2,25,-0.5204,0.28254999999999997,1.9250000000000003,2.6,0.0,13.599999999999994,-0.1835533119027395,2017,false,5,2.0055248618784516,0.1187010409889303,0.09655122096646038,-1.0,4.230769230769228,-0.16362262249653603
ALL,2017-10-01,2017-10-23,2017-10-24,2017-11-17,92.5,92.97,0.994944605786813,0.12818426813035147,0.02659557298041769,0.18430000000000002,0.1857,2.0949999999999998,1.525,93.64,100.17,2.44,2.56,11,0.6179,1.21,1.32,1,-0.3825,0.185,2.5,1.2650000000000001,7.670000000000002,0.0,-0.36688700161346977,2017,true,3,1.0371845949535197,0.0205041510359906,0.03324294879228096,2.0680000000000005,-1.0,0.0697351559162751
